SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
050,36,005,New York,Bronx County,2,1,101534,51789,49745,21425,20583,23351,22462,1517,1437,2509,2330,235,209,2752,2724,23751,22908,25791,24870,2264,2181,2771,2580,329,313,21911,20892,3879,3688,14596,14047,113,131,2252,2053,34,33,1037,940,4775,4503,15496,14868,311,306,2393,2180,57,53,29878,28853,17546,16895,8755,8415,1404,1306,257,277,201,176,1715,1784,18976,18405,10295,10002,1953,1875,378,400,272,260
050,36,005,New York,Bronx County,2,2,102459,52118,50341,21948,21024,23496,22802,1345,1341,2306,2286,208,188,2815,2700,24328,23308,25988,25199,2119,2083,2562,2532,310,278,20866,20403,3445,3267,14354,14067,113,145,2046,2039,27,27,881,858,4189,4000,15118,14817,300,321,2176,2163,48,49,31252,29938,18503,17757,9142,8735,1232,1196,260,247,181,161,1934,1842,20139,19308,10870,10382,1819,1762,386,369,262,229
050,36,005,New York,Bronx County,2,3,100108,51213,48895,21444,20799,23329,22130,1733,1691,2263,1955,190,244,2254,2076,23297,22494,25323,23972,2408,2307,2475,2143,285,345,20411,19473,3007,2797,14624,14161,189,170,1958,1735,14,12,619,598,3506,3282,15165,14684,331,308,2062,1834,37,35,30802,29422,18437,18002,8705,7969,1544,1521,305,220,176,232,1635,1478,19791,19212,10158,9288,2077,1999,413,309,248,310
050,36,005,New York,Bronx County,2,4,97303,49851,47452,21734,20581,21984,21059,1660,1632,2249,2061,238,205,1986,1914,23384,22171,23733,22716,2236,2194,2434,2249,326,301,20705,19370,4033,3297,13937,13529,173,195,1975,1784,32,22,555,543,4481,3741,14402,13978,302,316,2083,1880,51,46,29146,28082,17701,17284,8047,7530,1487,1437,274,277,206,183,1431,1371,18903,18430,9331,8738,1934,1878,351,369,275,255
050,36,005,New York,Bronx County,2,5,99041,48751,50290,21633,21778,21209,22690,1662,1598,2088,2088,240,188,1919,1948,23251,23401,22855,24386,2237,2209,2283,2277,325,277,20360,20864,4048,3506,13731,14825,186,155,1816,1827,24,27,555,524,4496,3924,14186,15262,318,286,1929,1926,53,50,28391,29426,17585,18272,7478,7865,1476,1443,272,261,216,161,1364,1424,18755,19477,8669,9124,1919,1923,354,351,272,227
050,36,005,New York,Bronx County,2,6,115921,55719,60202,23360,24838,25439,27759,1868,1867,2636,3047,263,277,2153,2414,25168,26818,27246,29857,2583,2699,2820,3270,381,395,23541,25782,3840,3869,16650,18376,189,183,2290,2725,27,24,545,605,4261,4330,17092,18890,339,361,2386,2830,68,52,32178,34420,19520,20969,8789,9383,1679,1684,346,322,236,253,1608,1809,20907,22488,10154,10967,2244,2338,434,440,313,343
050,36,005,New York,Bronx County,2,7,112610,54358,58252,23461,24043,24247,26701,1754,1731,2722,3128,234,252,1940,2397,25046,25982,25870,28756,2461,2572,2889,3352,329,377,23755,25386,4241,4187,16470,17630,119,172,2423,2754,28,27,474,616,4586,4649,16853,18135,282,362,2521,2869,60,64,30603,32866,19220,19856,7777,9071,1635,1559,299,374,206,225,1466,1781,20460,21333,9017,10621,2179,2210,368,483,269,313
050,36,005,New York,Bronx County,2,8,97821,46355,51466,20834,21813,19678,23202,1551,1645,2424,2743,239,242,1629,1821,22152,23243,21049,24775,2141,2327,2568,2917,339,348,20101,21986,3952,3725,13417,15139,124,120,2201,2506,14,24,393,472,4227,4056,13731,15522,265,287,2281,2604,47,62,26254,29480,16882,18088,6261,8063,1427,1525,223,237,225,218,1236,1349,17925,19187,7318,9253,1876,2040,287,313,292,286
050,36,005,New York,Bronx County,2,9,89564,41175,48389,18219,20021,17835,22200,1414,1481,2147,2697,209,214,1351,1776,19309,21398,18977,23742,1909,2143,2284,2874,297,324,18442,21343,3631,3388,12391,14871,91,105,1954,2435,19,25,356,519,3878,3744,12676,15301,222,301,2032,2537,47,68,22733,27046,14588,16633,5444,7329,1323,1376,193,262,190,189,995,1257,15431,17654,6301,8441,1687,1842,252,337,250,256
050,36,005,New York,Bronx County,2,10,86161,39828,46333,17765,19468,17089,21067,1301,1571,2279,2469,125,217,1269,1541,18749,20638,18148,22390,1791,2148,2408,2608,197,307,18470,20416,3717,3246,12209,14386,121,123,2080,2251,21,27,322,383,3912,3483,12463,14703,256,281,2153,2331,45,58,21358,25917,14048,16222,4880,6681,1180,1448,199,218,104,190,947,1158,14837,17155,5685,7687,1535,1867,255,277,152,249
050,36,005,New York,Bronx County,2,11,91677,42658,49019,18534,20792,19117,22642,1263,1483,2283,2285,181,233,1280,1584,19510,21956,20176,23997,1775,2150,2410,2436,260,359,20525,22237,4082,3707,13870,15911,115,136,2088,2054,38,34,332,395,4271,3921,14125,16234,273,330,2160,2129,68,71,22133,26782,14452,17085,5247,6731,1148,1347,195,231,143,199,948,1189,15239,18035,6051,7763,1502,1820,250,307,192,288
050,36,005,New York,Bronx County,2,12,92139,42212,49927,17752,20709,19874,23709,1119,1417,2126,2185,150,241,1191,1666,18630,21930,20858,25124,1626,2119,2235,2326,254,354,21724,23612,4565,4211,14718,16843,110,149,1948,1946,29,28,354,435,4758,4437,14987,17189,293,398,2019,2024,69,69,20488,26315,13187,16498,5156,6866,1009,1268,178,239,121,213,837,1231,13872,17493,5871,7935,1333,1721,216,302,185,285
050,36,005,New York,Bronx County,2,13,80382,36370,44012,15427,18280,16707,20870,1022,1187,2054,2073,137,166,1023,1436,16178,19311,17560,22088,1461,1832,2172,2212,219,265,19414,22325,4625,4739,12453,15135,106,132,1884,1905,22,23,324,391,4802,4927,12698,15446,293,372,1962,1976,54,54,16956,21687,10802,13541,4254,5735,916,1055,170,168,115,143,699,1045,11376,14384,4862,6642,1168,1460,210,236,165,211
050,36,005,New York,Bronx County,2,14,62512,27812,34700,12512,15754,12100,15280,691,828,1661,1635,90,146,758,1057,13049,16512,12725,16174,1037,1316,1740,1732,139,236,14987,17668,4374,4671,8785,11126,67,92,1534,1488,9,13,218,278,4481,4800,8945,11352,204,274,1583,1540,27,38,12825,17032,8138,11083,3315,4154,624,736,127,147,81,133,540,779,8568,11712,3780,4822,833,1042,157,192,112,198
050,36,005,New York,Bronx County,2,15,48690,20431,28259,9960,13474,8373,12064,452,595,1023,1343,90,94,533,689,10333,13977,8808,12637,707,931,1096,1412,131,140,11040,14986,3929,4503,5958,8941,48,75,938,1247,11,17,156,203,4002,4604,6076,9104,152,217,972,1286,23,33,9391,13273,6031,8971,2415,3123,404,520,85,96,79,77,377,486,6331,9373,2732,3533,555,714,124,126,108,107
050,36,005,New York,Bronx County,2,16,34219,13282,20937,6914,10330,5125,8858,299,412,630,835,39,63,275,439,7105,10653,5349,9214,443,624,664,879,66,105,7258,11200,2864,3565,3679,6681,38,54,588,757,9,19,80,124,2904,3632,3736,6778,93,133,603,778,17,33,6024,9737,4050,6765,1446,2177,261,358,42,78,30,44,195,315,4201,7021,1613,2436,350,491,61,101,49,72
050,36,005,New York,Bronx County,2,17,23197,8467,14730,4531,7593,3151,5944,195,301,385,525,30,43,175,324,4665,7835,3282,6204,277,463,414,560,51,74,4622,7955,1966,2956,2229,4389,20,36,359,481,5,5,43,88,1991,3004,2254,4453,47,93,372,496,15,15,3845,6775,2565,4637,922,1555,175,265,26,44,25,38,132,236,2674,4831,1028,1751,230,370,42,64,36,59
050,36,005,New York,Bronx County,2,18,23985,7193,16792,4000,8985,2549,6494,161,343,333,548,17,53,133,369,4099,9243,2648,6775,215,528,347,587,34,89,4388,10239,2295,4808,1739,4751,24,46,304,491,0,11,26,132,2309,4877,1755,4852,37,136,311,507,4,19,2805,6553,1705,4177,810,1743,137,297,29,57,17,42,107,237,1790,4366,893,1923,178,392,36,80,30,70
050,36,005,New York,Bronx County,3,0,1420392,671367,749025,291665,320848,297767,338875,20655,22122,33669,35677,2804,3167,24807,28336,311695,343328,318951,363353,29090,32169,36038,38339,4154,4769,304483,335945,64030,65696,200917,227796,1880,2152,30205,31995,348,373,7103,7933,69253,71371,206703,234423,4157,4942,31519,33372,779,872,366884,413080,227635,255152,96850,111079,18775,19970,3464,3682,2456,2794,17704,20403,242442,271957,112248,128930,24933,27227,4519,4967,3375,3897
050,36,005,New York,Bronx County,3,1,94290,48104,46186,19477,18659,22071,21225,1573,1491,2345,2184,199,158,2439,2469,21535,20757,24236,23404,2251,2176,2579,2408,285,252,20032,19214,3546,3442,13369,12886,99,114,2099,1917,31,21,888,834,4312,4164,14145,13611,269,272,2224,2031,52,42,28072,26972,15931,15217,8702,8339,1474,1377,246,267,168,137,1551,1635,17223,16593,10091,9793,1982,1904,355,377,233,210
